MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:53 | STATUS_PLAYING udp://@225.1.1.120:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:56 | INFORMATION_RECEIVED udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:56 | STATUS_PLAYING udp://@225.1.1.90:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:59 | INFORMATION_RECEIVED udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:37:59 | STATUS_PLAYING udp://@225.1.1.222:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:1 | INFORMATION_RECEIVED udp://@225.1.1.6:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:1 | STATUS_PLAYING udp://@225.1.1.6:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:2 | INFORMATION_RECEIVED udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:2 | STATUS_PLAYING udp://@225.1.1.251:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:3 | INFORMATION_RECEIVED udp://@225.1.1.252:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:3 | STATUS_PLAYING udp://@225.1.1.252:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:5 | INFORMATION_RECEIVED udp://@225.1.1.253:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:5 | STATUS_PLAYING udp://@225.1.1.253:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:9 | INFORMATION_RECEIVED udp://@225.1.1.254:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:9 | STATUS_PLAYING udp://@225.1.1.254:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:12 | INFORMATION_RECEIVED udp://@225.1.1.81:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:12 | STATUS_PLAYING udp://@225.1.1.81:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:18 | INFORMATION_RECEIVED udp://@225.1.1.117:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:18 | STATUS_PLAYING udp://@225.1.1.117:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:23 | INFORMATION_RECEIVED udp://@225.1.1.51:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:23 | STATUS_PLAYING udp://@225.1.1.51:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:26 | INFORMATION_RECEIVED udp://@225.1.1.117:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:26 | STATUS_PLAYING udp://@225.1.1.117:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:28 | INFORMATION_RECEIVED udp://@225.1.1.81:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:28 | STATUS_PLAYING udp://@225.1.1.81:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:29 | INFORMATION_RECEIVED udp://@225.1.1.254:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:29 | STATUS_PLAYING udp://@225.1.1.254:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:31 | INFORMATION_RECEIVED udp://@225.1.1.253:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:31 | STATUS_PLAYING udp://@225.1.1.253:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 28/4/2023 11:38:32 | INFORMATION_RECEIVED udp://@225.1.1.252:2001
